,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
58872,2008,3,31,1,2148.0,2140,2330.0,2327,DL,638,N605DL,102.0,107.0,79.0,3.0,8.0,ATL,IAD,533,4.0,19.0,0,N,0,,,,,
126679,2008,2,19,2,1542.0,1530,2117.0,2115,WN,284,N260WN,215.0,225.0,202.0,2.0,12.0,LAX,BNA,1797,6.0,7.0,0,N,0,,,,,
89112,2008,7,18,5,1607.0,1515,1842.0,1755,WN,378,N317WN,155.0,160.0,144.0,47.0,52.0,TPA,ISP,1034,3.0,8.0,0,N,0,0.0,47.0,0.0,0.0,0.0
23232,2008,6,7,6,723.0,610,935.0,800,AA,1370,N444AA,192.0,170.0,167.0,95.0,73.0,BOS,STL,1046,5.0,20.0,0,N,0,73.0,0.0,22.0,0.0,0.0
202540,2008,3,31,1,2122.0,2110,2339.0,2325,AA,2039,N5FRAA,197.0,195.0,172.0,14.0,12.0,MIA,ORD,1197,8.0,17.0,0,N,0,,,,,
63671,2008,12,7,7,2045.0,1930,2251.0,2107,CO,1192,N37293,126.0,97.0,43.0,104.0,75.0,EWR,BOS,200,6.0,77.0,0,N,0,0.0,0.0,54.0,0.0,50.0
174555,2008,11,8,6,752.0,735,851.0,840,WN,146,N442WN,59.0,65.0,42.0,11.0,17.0,LAS,SNA,226,4.0,13.0,0,N,0,,,,,
29429,2008,4,4,5,2358.0,2255,100.0,9,B6,22,N651JB,62.0,74.0,42.0,51.0,63.0,JFK,SYR,209,3.0,17.0,0,N,0,0.0,0.0,0.0,0.0,51.0
20006,2008,7,15,2,2030.0,1805,2351.0,2124,UA,504,N919UA,141.0,139.0,122.0,147.0,145.0,LAX,DEN,862,7.0,12.0,0,N,0,0.0,0.0,2.0,0.0,145.0
191599,2008,5,23,5,1932.0,1856,2309.0,2230,NW,175,N370NB,157.0,154.0,119.0,39.0,36.0,MEM,EWR,946,8.0,30.0,0,N,0,0.0,0.0,3.0,0.0,36.0
45032,2008,1,18,5,1227.0,1145,1236.0,1205,WN,81,N436WN,69.0,80.0,54.0,31.0,42.0,PHX,SNA,338,4.0,11.0,0,N,0,31.0,0.0,0.0,0.0,0.0
88047,2008,7,27,7,2023.0,1900,2238.0,2138,US,836,N404US,135.0,158.0,101.0,60.0,83.0,PHL,JAX,742,3.0,31.0,0,N,0,24.0,0.0,0.0,0.0,36.0
175005,2008,2,7,4,939.0,925,1048.0,1045,EV,4607,N854AS,69.0,80.0,47.0,3.0,14.0,ATL,FAY,331,3.0,19.0,0,N,0,,,,,
108362,2008,2,13,3,1427.0,1259,1548.0,1428,UA,681,N429UA,141.0,149.0,114.0,80.0,88.0,LGA,ORD,733,10.0,17.0,0,N,0,0.0,0.0,0.0,0.0,80.0
134580,2008,2,23,6,1713.0,1700,1858.0,1845,F9,858,N927FR,105.0,105.0,82.0,13.0,13.0,PHX,DEN,602,11.0,12.0,0,N,0,,,,,
169535,2008,7,30,3,1141.0,1005,1220.0,1106,OO,3962,N604SK,99.0,121.0,81.0,74.0,96.0,SLC,TUS,601,5.0,13.0,0,N,0,74.0,0.0,0.0,0.0,0.0
82227,2008,6,8,7,1945.0,1900,2100.0,2020,WN,1048,N353SW,75.0,80.0,64.0,40.0,45.0,DAL,MSY,437,5.0,6.0,0,N,0,37.0,0.0,0.0,0.0,3.0
152491,2008,11,30,7,619.0,600,1040.0,829,DL,806,N957DL,201.0,89.0,69.0,131.0,19.0,LIT,ATL,453,8.0,124.0,0,N,0,19.0,0.0,112.0,0.0,0.0
48012,2008,12,17,3,1933.0,1920,2106.0,2055,AA,1930,N233AA,93.0,95.0,73.0,11.0,13.0,DFW,HSV,603,7.0,13.0,0,N,0,,,,,
172829,2008,4,10,4,1059.0,700,1405.0,1014,DL,604,N914DL,126.0,134.0,104.0,231.0,239.0,AUS,ATL,813,13.0,9.0,0,N,0,231.0,0.0,0.0,0.0,0.0
149802,2008,9,29,1,2311.0,2120,42.0,2311,NW,321,N514US,211.0,231.0,188.0,91.0,111.0,MSP,LAX,1536,8.0,15.0,0,N,0,91.0,0.0,0.0,0.0,0.0
48316,2008,8,10,7,1240.0,1225,1650.0,1530,OH,5480,N695CA,250.0,185.0,163.0,80.0,15.0,MIA,JFK,1090,50.0,37.0,0,N,0,0.0,15.0,65.0,0.0,0.0
93984,2008,9,25,4,1158.0,1130,1713.0,1705,AA,596,N5DJAA,255.0,275.0,233.0,8.0,28.0,DFW,SJU,2165,5.0,17.0,0,N,0,,,,,
11062,2008,3,8,6,1555.0,1337,1635.0,1424,OO,6579,N724SK,40.0,47.0,25.0,131.0,138.0,DEN,ASE,125,3.0,12.0,0,N,0,0.0,0.0,0.0,0.0,131.0
134638,2008,3,2,7,1841.0,1825,2203.0,2210,B6,647,N637JB,382.0,405.0,338.0,-7.0,16.0,JFK,SFO,2586,11.0,33.0,0,N,0,,,,,
66081,2008,6,19,4,1713.0,1525,1825.0,1636,CO,614,N27610,72.0,71.0,49.0,109.0,108.0,DFW,IAH,224,9.0,14.0,0,N,0,0.0,0.0,109.0,0.0,0.0
122163,2008,6,26,4,947.0,910,1142.0,1100,MQ,3992,N693AE,115.0,110.0,97.0,42.0,37.0,TUL,ORD,585,8.0,10.0,0,N,0,10.0,0.0,32.0,0.0,0.0
47620,2008,5,8,4,1338.0,1330,1453.0,1445,WN,577,N396SW,75.0,75.0,57.0,8.0,8.0,LAX,PHX,370,5.0,13.0,0,N,0,,,,,
36078,2008,8,17,7,1620.0,1610,1911.0,1852,XE,7779,N11184,171.0,162.0,148.0,19.0,10.0,SEA,LAX,954,10.0,13.0,0,N,0,10.0,0.0,9.0,0.0,0.0
149512,2008,10,24,5,1102.0,1050,1154.0,1150,WN,11,N372SW,52.0,60.0,43.0,4.0,12.0,HOU,HRL,276,2.0,7.0,0,N,0,,,,,
173074,2008,2,8,5,1627.0,1610,1905.0,1844,DL,680,N391DA,158.0,154.0,119.0,21.0,17.0,ATL,BOS,946,8.0,31.0,0,N,0,0.0,0.0,21.0,0.0,0.0
63319,2008,12,12,5,1004.0,925,1255.0,1226,DL,760,N386DA,111.0,121.0,95.0,29.0,39.0,DFW,ATL,732,6.0,10.0,0,N,0,1.0,0.0,0.0,0.0,28.0
192470,2008,2,28,4,1952.0,1910,32.0,2330,NW,642,N583NW,220.0,200.0,163.0,62.0,42.0,MSP,RSW,1416,4.0,53.0,0,N,0,42.0,0.0,20.0,0.0,0.0
13443,2008,10,7,2,1323.0,1055,1558.0,1337,B6,31,N289JB,155.0,162.0,131.0,141.0,148.0,JFK,MCO,944,6.0,18.0,0,N,0,141.0,0.0,0.0,0.0,0.0
110741,2008,1,2,3,1937.0,1850,2025.0,1950,WN,455,N386SW,48.0,60.0,34.0,35.0,47.0,MCO,FLL,178,5.0,9.0,0,N,0,14.0,0.0,0.0,0.0,21.0
149164,2008,2,20,3,1611.0,1600,1715.0,1705,WN,1139,N705SW,64.0,65.0,53.0,10.0,11.0,BUF,BWI,281,4.0,7.0,0,N,0,,,,,
132575,2008,7,19,6,1119.0,1109,1219.0,1201,XE,7674,N14179,120.0,112.0,91.0,18.0,10.0,SLC,EUG,619,2.0,27.0,0,N,0,10.0,0.0,8.0,0.0,0.0
181914,2008,12,21,7,1736.0,1500,2025.0,1750,F9,138,N904FR,109.0,110.0,87.0,155.0,156.0,DEN,DFW,641,11.0,11.0,0,N,0,0.0,22.0,89.0,0.0,44.0
69463,2008,8,10,7,2113.0,2100,528.0,523,B6,90,N599JB,315.0,323.0,296.0,5.0,13.0,OAK,JFK,2576,5.0,14.0,0,N,0,,,,,
26254,2008,7,26,6,2129.0,2115,2330.0,2330,WN,2593,N632SW,121.0,135.0,110.0,0.0,14.0,MCO,BWI,787,4.0,7.0,0,N,0,,,,,
198123,2008,12,24,3,1508.0,1300,1639.0,1420,WN,1050,N221WN,91.0,80.0,57.0,139.0,128.0,OAK,LAX,337,8.0,26.0,0,N,0,21.0,0.0,11.0,0.0,107.0
1733,2008,5,2,5,1930.0,1818,2057.0,2000,UA,467,N925UA,147.0,162.0,128.0,57.0,72.0,DEN,OAK,957,5.0,14.0,0,N,0,0.0,0.0,0.0,0.0,57.0
116603,2008,2,21,4,1807.0,1724,2027.0,1930,DL,751,N937DL,140.0,126.0,102.0,57.0,43.0,IAD,ATL,533,19.0,19.0,0,N,0,37.0,0.0,14.0,0.0,6.0
35476,2008,6,11,3,2157.0,2120,703.0,556,NW,804,N589NW,366.0,336.0,329.0,67.0,37.0,KOA,SEA,2688,18.0,19.0,0,N,0,0.0,0.0,30.0,0.0,37.0
125141,2008,8,25,1,733.0,717,915.0,902,UA,657,N823UA,222.0,225.0,199.0,13.0,16.0,AUS,SFO,1504,4.0,19.0,0,N,0,,,,,
7888,2008,8,12,2,1556.0,1455,1845.0,1746,UA,618,N820UA,109.0,111.0,90.0,59.0,61.0,ORD,DCA,612,3.0,16.0,0,N,0,11.0,0.0,0.0,0.0,48.0
77494,2008,4,12,6,917.0,900,1028.0,1016,CO,1507,N32404,131.0,136.0,118.0,12.0,17.0,TPA,IAH,787,4.0,9.0,0,N,0,,,,,
138137,2008,7,28,1,1218.0,1156,1251.0,1232,OO,6743,N405SW,93.0,96.0,75.0,19.0,22.0,FSD,DEN,483,10.0,8.0,0,N,0,0.0,0.0,0.0,0.0,19.0
146302,2008,4,21,1,1608.0,1555,1832.0,1836,US,1253,N105UW,144.0,161.0,123.0,-4.0,13.0,PHL,TPA,920,5.0,16.0,0,N,0,,,,,
197441,2008,11,4,2,1640.0,1610,32.0,10,US,882,N940UW,292.0,300.0,264.0,22.0,30.0,LAS,BOS,2381,7.0,21.0,0,N,0,0.0,0.0,0.0,0.0,22.0
6500,2008,3,24,1,942.0,933,1057.0,1054,EV,4536,N837AS,75.0,81.0,45.0,3.0,9.0,ATL,FAY,331,5.0,25.0,0,N,0,,,,,
107109,2008,4,10,4,1527.0,1454,1632.0,1607,UA,443,N432UA,65.0,73.0,50.0,25.0,33.0,DEN,ABQ,349,4.0,11.0,0,N,0,10.0,0.0,0.0,0.0,15.0
146823,2008,2,13,3,2032.0,2010,2234.0,2230,AA,1087,N245AA,122.0,140.0,103.0,4.0,22.0,ORD,MSY,837,2.0,17.0,0,N,0,,,,,
190514,2008,1,14,1,1406.0,1246,1527.0,1420,OO,6478,N745SK,81.0,94.0,66.0,67.0,80.0,BZN,DEN,525,6.0,9.0,0,N,0,0.0,0.0,0.0,0.0,67.0
67386,2008,4,24,4,1453.0,1427,2031.0,2010,UA,1522,N408UA,218.0,223.0,197.0,21.0,26.0,LAS,ORD,1515,5.0,16.0,0,N,0,0.0,0.0,4.0,0.0,17.0
29248,2008,1,27,7,930.0,810,1140.0,1015,YV,2900,N987HA,130.0,125.0,115.0,85.0,80.0,GJT,PHX,438,5.0,10.0,0,N,0,85.0,0.0,0.0,0.0,0.0
68568,2008,8,2,6,18.0,2245,749.0,620,DL,1576,N615DL,271.0,275.0,251.0,89.0,93.0,PDX,ATL,2172,6.0,14.0,0,N,0,0.0,0.0,0.0,0.0,89.0
45891,2008,1,4,5,1932.0,1840,2137.0,2035,AA,1427,N638AA,125.0,115.0,92.0,62.0,52.0,STL,DFW,551,18.0,15.0,0,N,0,0.0,0.0,10.0,0.0,52.0
174413,2008,7,1,2,1502.0,1419,1655.0,1550,NW,1427,N1332U,113.0,91.0,68.0,65.0,43.0,MSP,MOT,449,4.0,41.0,0,N,0,43.0,0.0,22.0,0.0,0.0
200614,2008,1,1,2,1731.0,1710,1814.0,1810,WN,2377,N663SW,103.0,120.0,86.0,4.0,21.0,SLC,LAX,590,8.0,9.0,0,N,0,,,,,
156765,2008,3,14,5,1609.0,1545,1703.0,1645,EV,4909,N871AS,54.0,60.0,37.0,18.0,24.0,ATL,CAE,191,2.0,15.0,0,N,0,18.0,0.0,0.0,0.0,0.0
186155,2008,3,14,5,1117.0,745,1313.0,1005,AA,1247,N5FSAA,176.0,200.0,154.0,188.0,212.0,MIA,ORD,1197,6.0,16.0,0,N,0,188.0,0.0,0.0,0.0,0.0
179261,2008,5,11,7,1729.0,1545,1903.0,1712,UA,955,N375UA,94.0,87.0,78.0,111.0,104.0,SFO,SAN,447,2.0,14.0,0,N,0,0.0,0.0,9.0,0.0,102.0
120902,2008,7,24,4,1658.0,1650,1806.0,1805,WN,1577,N708SA,68.0,75.0,58.0,1.0,8.0,BWI,CMH,336,3.0,7.0,0,N,0,,,,,
13570,2008,4,11,5,1606.0,1550,1937.0,1920,WN,3143,N463WN,151.0,150.0,140.0,17.0,16.0,MDW,TPA,997,3.0,8.0,0,N,0,16.0,0.0,1.0,0.0,0.0
67565,2008,2,10,7,1456.0,1450,1652.0,1645,WN,2788,N669SW,176.0,175.0,163.0,7.0,6.0,RSW,MDW,1105,5.0,8.0,0,N,0,,,,,
118081,2008,6,30,1,1600.0,1519,1711.0,1640,UA,405,N854UA,131.0,141.0,118.0,31.0,41.0,DEN,SNA,846,4.0,9.0,0,N,0,7.0,0.0,0.0,0.0,24.0
52042,2008,6,8,7,2252.0,2155,47.0,2350,WN,796,N672SW,115.0,115.0,99.0,57.0,57.0,PHX,SMF,647,4.0,12.0,0,N,0,22.0,0.0,0.0,0.0,35.0
188108,2008,10,17,5,1637.0,1630,2011.0,2007,US,1041,N920UW,214.0,217.0,196.0,4.0,7.0,STT,CLT,1520,7.0,11.0,0,N,0,,,,,
158630,2008,12,1,1,1626.0,1605,1711.0,1710,F9,198,N910FR,165.0,185.0,145.0,1.0,21.0,DAY,DEN,1084,10.0,10.0,0,N,0,,,,,
53399,2008,11,12,3,1644.0,1638,1750.0,1756,DL,1134,N908DL,66.0,78.0,42.0,-6.0,6.0,ATL,GSO,306,4.0,20.0,0,N,0,,,,,
118851,2008,8,20,3,1817.0,1805,2123.0,2129,UA,540,N514UA,126.0,144.0,110.0,-6.0,12.0,ORD,BOS,867,4.0,12.0,0,N,0,,,,,
201768,2008,4,4,5,1935.0,1915,2155.0,2128,OH,5032,N691CA,80.0,73.0,53.0,27.0,20.0,ORD,CVG,264,3.0,24.0,0,N,0,0.0,20.0,7.0,0.0,0.0
125354,2008,5,17,6,1155.0,1145,1425.0,1500,AA,123,N390AA,450.0,495.0,434.0,-35.0,10.0,DFW,HNL,3784,2.0,14.0,0,N,0,,,,,
89343,2008,4,12,6,1656.0,1630,1930.0,1918,YV,7212,N651ML,94.0,108.0,79.0,12.0,26.0,ORD,MDT,594,4.0,11.0,0,N,0,,,,,
56403,2008,5,26,1,2008.0,1954,2217.0,2152,DL,1079,N689DL,309.0,298.0,281.0,25.0,14.0,ATL,SMF,2092,6.0,22.0,0,N,0,14.0,0.0,11.0,0.0,0.0
50453,2008,12,22,1,745.0,720,1000.0,930,OO,2810,N495CA,75.0,70.0,50.0,30.0,25.0,MKE,CMH,331,6.0,19.0,0,N,0,0.0,0.0,5.0,7.0,18.0
181522,2008,7,15,2,917.0,815,1013.0,916,US,647,N634AW,236.0,241.0,214.0,57.0,62.0,CMH,PHX,1671,6.0,16.0,0,N,0,57.0,0.0,0.0,0.0,0.0
79788,2008,8,20,3,1533.0,1455,1822.0,1753,B6,365,N645JB,169.0,178.0,141.0,29.0,38.0,LGA,PBI,1035,3.0,25.0,0,N,0,1.0,0.0,0.0,0.0,28.0
85082,2008,7,10,4,1750.0,1515,2004.0,1708,YV,2679,N906FJ,134.0,113.0,85.0,176.0,155.0,EWR,CLT,529,10.0,39.0,0,N,0,176.0,0.0,0.0,0.0,0.0
153839,2008,7,8,2,1630.0,1600,2052.0,1930,AA,1578,N262AA,202.0,150.0,131.0,82.0,30.0,STL,LGA,887,6.0,65.0,0,N,0,0.0,0.0,82.0,0.0,0.0
159904,2008,4,20,7,1832.0,1805,1955.0,1945,DL,1499,N666DN,83.0,100.0,67.0,10.0,27.0,ATL,RSW,515,5.0,11.0,0,N,0,,,,,
29414,2008,1,18,5,1121.0,1110,1556.0,1545,WN,3654,N230WN,155.0,155.0,134.0,11.0,11.0,LAS,SAT,1069,5.0,16.0,0,N,0,,,,,
140499,2008,10,13,1,737.0,730,833.0,835,WN,791,N741SA,56.0,65.0,45.0,-2.0,7.0,LAS,BUR,223,2.0,9.0,0,N,0,,,,,
183338,2008,3,24,1,1638.0,1610,1647.0,1615,WN,59,N343SW,69.0,65.0,54.0,32.0,28.0,CMH,MDW,284,5.0,10.0,0,N,0,0.0,0.0,4.0,0.0,28.0
166221,2008,3,18,2,1625.0,1225,1740.0,1325,OH,5121,N695CA,75.0,60.0,49.0,255.0,240.0,AUS,DFW,190,10.0,16.0,0,N,0,0.0,240.0,15.0,0.0,0.0
154495,2008,5,16,5,1408.0,1350,1443.0,1425,YV,1037,N646BR,35.0,35.0,22.0,18.0,18.0,HNL,OGG,100,4.0,9.0,0,N,0,18.0,0.0,0.0,0.0,0.0
92825,2008,2,3,7,1429.0,1340,2213.0,2038,US,96,N640AW,284.0,238.0,192.0,95.0,49.0,LAS,DTW,1750,8.0,84.0,0,N,0,0.0,0.0,46.0,0.0,49.0
82214,2008,8,6,3,1616.0,1559,1828.0,1818,FL,640,N972AT,132.0,139.0,109.0,10.0,17.0,HPN,ATL,780,10.0,13.0,0,N,0,,,,,
157476,2008,12,1,1,2035.0,1935,2129.0,2040,WN,2012,N326SW,54.0,65.0,47.0,49.0,60.0,AMA,DAL,324,2.0,5.0,0,N,0,0.0,0.0,0.0,0.0,49.0
15827,2008,6,1,7,1321.0,1315,1424.0,1425,MQ,3478,N501BG,63.0,70.0,44.0,-1.0,6.0,AMA,DFW,313,10.0,9.0,0,N,0,,,,,
28082,2008,9,25,4,639.0,610,903.0,835,AA,2377,N586AA,144.0,145.0,115.0,28.0,29.0,LGA,ATL,761,11.0,18.0,0,N,0,28.0,0.0,0.0,0.0,0.0
70469,2008,1,19,6,1330.0,1320,1554.0,1554,OH,5306,N917CA,84.0,94.0,67.0,0.0,10.0,BHM,CVG,396,2.0,15.0,0,N,0,,,,,
170445,2008,10,17,5,1620.0,1540,11.0,2340,WN,1136,N718SW,291.0,300.0,271.0,31.0,40.0,LAS,PVD,2363,2.0,18.0,0,N,0,7.0,0.0,0.0,0.0,24.0
28631,2008,8,2,6,1832.0,1757,2028.0,1953,CO,307,N14731,236.0,236.0,218.0,35.0,35.0,IAH,SFO,1635,4.0,14.0,0,N,0,14.0,0.0,0.0,0.0,21.0
165112,2008,6,23,1,940.0,915,1138.0,1110,MQ,4894,N713AE,118.0,115.0,83.0,28.0,25.0,CLT,LGA,544,6.0,29.0,0,N,0,0.0,0.0,3.0,0.0,25.0
76269,2008,12,22,1,1700.0,1606,1758.0,1715,EV,5033,N874AS,118.0,129.0,102.0,43.0,54.0,ATL,TUL,674,3.0,13.0,0,N,0,0.0,0.0,0.0,0.0,43.0
131604,2008,6,18,3,1811.0,1730,1939.0,1909,OO,6019,N705SK,88.0,99.0,69.0,30.0,41.0,ORD,FSD,462,6.0,13.0,0,N,0,30.0,0.0,0.0,0.0,0.0
163649,2008,5,6,2,1311.0,1300,1425.0,1415,WN,3135,N499WN,254.0,255.0,243.0,10.0,11.0,CMH,PHX,1671,5.0,6.0,0,N,0,,,,,
153792,2008,5,28,3,2150.0,2110,1027.0,955,CO,72,N69059,457.0,465.0,435.0,32.0,40.0,HNL,IAH,3904,5.0,17.0,0,N,0,0.0,0.0,0.0,0.0,32.0
105359,2008,2,11,1,2223.0,2000,116.0,2251,OO,5978,N770SK,173.0,171.0,142.0,145.0,143.0,ORD,AUS,978,5.0,26.0,0,N,0,0.0,0.0,0.0,0.0,145.0
118987,2008,11,22,6,1715.0,1650,1959.0,1959,B6,1203,N554JB,164.0,189.0,150.0,0.0,25.0,BUF,RSW,1144,5.0,9.0,0,N,0,,,,,
168121,2008,12,23,2,1534.0,1415,1743.0,1603,AS,681,N644AS,189.0,168.0,147.0,100.0,79.0,DEN,PDX,992,8.0,34.0,0,N,0,9.0,0.0,21.0,0.0,70.0
133547,2008,6,30,1,1745.0,1710,1850.0,1823,YV,7218,N17175,65.0,73.0,33.0,27.0,35.0,IAD,PHL,134,11.0,21.0,0,N,0,27.0,0.0,0.0,0.0,0.0
87894,2008,9,26,5,2038.0,1850,2309.0,2135,US,1231,N742PS,151.0,165.0,131.0,94.0,108.0,PHL,TPA,920,6.0,14.0,0,N,0,0.0,0.0,0.0,0.0,94.0
25593,2008,1,6,7,1121.0,1000,1227.0,1107,OO,2502,N699BR,66.0,67.0,47.0,80.0,81.0,MSP,MKE,297,6.0,13.0,0,N,0,80.0,0.0,0.0,0.0,0.0
142550,2008,5,14,3,1439.0,1430,1536.0,1520,WN,987,N331SW,177.0,170.0,165.0,16.0,9.0,AUS,SAN,1164,3.0,9.0,0,N,0,7.0,0.0,7.0,0.0,2.0
11968,2008,5,9,5,2000.0,1945,2122.0,2105,OO,2537,N506CA,142.0,140.0,124.0,17.0,15.0,BDL,MKE,780,7.0,11.0,0,N,0,15.0,0.0,2.0,0.0,0.0
126507,2008,5,29,4,1342.0,1331,1503.0,1454,UA,65,N529UA,81.0,83.0,62.0,9.0,11.0,SNA,SFO,372,6.0,13.0,0,N,0,,,,,
87532,2008,6,6,5,2110.0,1920,2240.0,2057,NW,1667,N671MC,90.0,97.0,62.0,103.0,110.0,MSP,STL,449,9.0,19.0,0,N,0,0.0,0.0,0.0,0.0,103.0
101618,2008,12,21,7,2259.0,2115,2355.0,2210,WN,2438,N339SW,56.0,55.0,41.0,105.0,104.0,SJC,RNO,188,4.0,11.0,0,N,0,3.0,0.0,1.0,0.0,101.0
